File,ML algorithm,Avg Accuracy,Avg Precision,Avg Recall,Avg F1-score,Avg Time
PortScan,Naive Bayes,0.7260886799932046,0.7174583719614984,0.5583519525409031,0.534576038223081,0.13231248855590821
PortScan,QDA,0.9496007701455349,0.9278909327297603,0.9638112132251685,0.9424431427748129,0.2190474510192871
PortScan,Random Forest,0.9986362006153614,0.9986579793126363,0.9980864590406051,0.9983715025744321,1.1599534273147583
PortScan,ID3,0.9988202427468524,0.9987865296997571,0.9983972067876573,0.9985915958962591,0.45225913524627687
PortScan,AdaBoost,0.9976971138418559,0.9973956433912752,0.9971067970775085,0.9972510697048854,6.059095621109009
PortScan,MLP,0.7762293070577797,0.827186323416971,0.7249778359866031,0.6577915293750343,16.295857191085815
PortScan,Nearest Neighbors,0.9978953130603847,0.9972602647723768,0.9977195932906684,0.9974895473448218,2.9000290632247925
SSH-Patator,Naive Bayes,0.973296032553408,0.9617905694041585,0.9795592723284535,0.9698401563350245,0.013181352615356445
SSH-Patator,QDA,0.978382502543235,0.969468137239968,0.98222664632111,0.9754399942446901,0.009804463386535645
SSH-Patator,Random Forest,0.991149542217701,0.988299978781767,0.9917412736636309,0.9899058876371329,0.03720071315765381
SSH-Patator,ID3,0.9977619532044761,0.9970037988060897,0.9978475036955796,0.9974241054465887,0.01596541404724121
SSH-Patator,AdaBoost,0.9964394710071212,0.9958985026941967,0.9958985026941967,0.9958985026941967,0.21715881824493408
SSH-Patator,MLP,0.9390640895218718,0.942384794728263,0.9232730318058271,0.9239604426043911,0.8154230833053588
SSH-Patator,Nearest Neighbors,0.9824516785350965,0.9759134561182344,0.9843605455152353,0.9799660311293442,0.07895567417144775
Infiltration,Naive Bayes,0.875,0.7857142857142857,0.7249999999999999,0.7491289198606272,0.005131864547729492
Infiltration,QDA,0.875,0.7857142857142857,0.7249999999999999,0.7491289198606272,0.005048799514770508
Infiltration,Random Forest,0.9041666666666666,0.903896103896104,0.7424999999999999,0.7914053426248548,0.011495447158813477
Infiltration,ID3,0.875,0.7857142857142857,0.7249999999999999,0.7491289198606272,0.005068540573120117
Infiltration,AdaBoost,0.875,0.7857142857142857,0.7249999999999999,0.7491289198606272,0.04558730125427246
Infiltration,MLP,0.55,0.4958636924669532,0.6300000000000001,0.4545396345999161,0.015304660797119141
Infiltration,Nearest Neighbors,0.875,0.7736842105263158,0.825,0.7948717948717949,0.005728363990783691
FTP-Patator,Naive Bayes,0.6929327286470144,0.7506903958269409,0.7778840896664845,0.6911771692824225,0.014458250999450684
FTP-Patator,QDA,0.8896447467876041,0.867810720564561,0.918481850614304,0.8805531369658353,0.010822725296020509
FTP-Patator,Random Forest,0.9982426303854876,0.9978334929912162,0.9980515702074493,0.9979421576170429,0.04336037635803223
FTP-Patator,ID3,0.9974300831443687,0.9965249899456026,0.9974638173370284,0.9969926182390829,0.012931156158447265
FTP-Patator,AdaBoost,0.9973544973544973,0.9969012101375032,0.9969012101375032,0.9969012101375032,0.24104435443878175
FTP-Patator,MLP,0.9969009826152684,0.9958549205581815,0.9969117836997162,0.996377013464951,3.0284929275512695
FTP-Patator,Nearest Neighbors,0.9973544973544973,0.9964035743862368,0.9974091426514079,0.9969043502386249,0.09447815418243408
WebAttack,Naive Bayes,0.9291609353507566,0.9221878550127803,0.9137447405329592,0.9177780156854348,0.010241174697875976
WebAttack,QDA,0.9085281980742778,0.8901285613847133,0.9054143970775301,0.8969699197686456,0.007129311561584473
WebAttack,Random Forest,0.977854195323246,0.9813935317551297,0.9678260869565218,0.9741489389214786,0.019500184059143066
WebAttack,ID3,0.9938101788170565,0.9926109016350715,0.9931711188666732,0.9928903116234113,0.007729077339172363
WebAttack,AdaBoost,0.9917469050894085,0.9894407584990205,0.9916544353479676,0.9905365034528094,0.08963212966918946
WebAttack,MLP,0.9330811554332874,0.9295981992168656,0.9305842765039086,0.9256157994360441,0.3137465000152588
WebAttack,Nearest Neighbors,0.9889958734525447,0.9862933339105776,0.988492775367755,0.9873820046037458,0.033973097801208496
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.005248165130615235
Heartbleed,QDA,1.0,1.0,1.0,1.0,0.004935860633850098
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.011427164077758789
Heartbleed,ID3,1.0,1.0,1.0,1.0,0.004886174201965332
Heartbleed,AdaBoost,1.0,1.0,1.0,1.0,0.005660557746887207
Heartbleed,MLP,0.4875,0.41999999999999993,0.5583333333333333,0.40963036963036964,0.013869667053222656
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.005428028106689453
Bot,Naive Bayes,0.4416475972540046,0.6746666666666667,0.6013071895424835,0.42737154150197637,0.009954404830932618
Bot,QDA,0.7909992372234935,0.7855757002641275,0.8398484924079895,0.7809350148802263,0.006373977661132813
Bot,Random Forest,0.9782608695652174,0.9686096453579651,0.9810573932711337,0.9744373638814455,0.018484973907470705
Bot,ID3,0.9572845156369183,0.96923239713396,0.9302083853049277,0.9470223525608462,0.007079505920410156
Bot,AdaBoost,0.98093058733791,0.9700956937799041,0.9863834422657952,0.9776846657738261,0.09073994159698487
Bot,MLP,0.8591914569031273,0.8120591530622553,0.807995725856076,0.8037191833903904,0.4347224712371826
Bot,Nearest Neighbors,0.9893211289092297,0.9859297576462417,0.9887367160604702,0.9873182798076391,0.0283860445022583
DoS Slowhttptest,Naive Bayes,0.8739770867430442,0.8446257429273508,0.8789565384185035,0.8573378890186802,0.012588119506835938
DoS Slowhttptest,QDA,0.9293507910529188,0.9139426523297492,0.9184353404410629,0.9161411878669178,0.009216904640197754
DoS Slowhttptest,Random Forest,0.9868248772504092,0.989263462482248,0.9793869982896695,0.9840587161918475,0.04379336833953858
DoS Slowhttptest,ID3,0.9819967266775776,0.9839690436705361,0.9730087434663768,0.9782711307676392,0.02352921962738037
DoS Slowhttptest,AdaBoost,0.9912711402073103,0.9885928102302485,0.9906310108001257,0.989604176761606,0.25418102741241455
DoS Slowhttptest,MLP,0.8066557555919257,0.7936242331283114,0.8413405582817838,0.793957976553859,0.8152114629745484
DoS Slowhttptest,Nearest Neighbors,0.9773595199127115,0.9726307815399282,0.9733726549554301,0.9730006503205416,0.07099041938781739
DoS slowloris,Naive Bayes,0.7461180124223602,0.7813083914516394,0.6041267203278282,0.6008623834953066,0.012334966659545898
DoS slowloris,QDA,0.8835403726708074,0.8611024692574514,0.9084796240796427,0.8736713257448944,0.009144282341003418
DoS slowloris,Random Forest,0.976552795031056,0.9766691887369324,0.9683919936578468,0.972342326403224,0.039043974876403806
DoS slowloris,ID3,0.9862836438923395,0.9836490932734424,0.9843146304105239,0.9839809403289402,0.015489745140075683
DoS slowloris,AdaBoost,0.9736024844720497,0.9728025964108438,0.9652427714608118,0.968903842457749,0.19137811660766602
DoS slowloris,MLP,0.7503623188405798,0.7507316504044506,0.7114007842528245,0.6535142745619786,0.9015541315078736
DoS slowloris,Nearest Neighbors,0.9712732919254657,0.9706061538805045,0.9619461417942132,0.9661198470991664,0.06274640560150146
DoS Hulk,Naive Bayes,0.5992703620276665,0.6989654270151595,0.7053426967685861,0.5991465837789448,0.19691684246063232
DoS Hulk,QDA,0.47229128394212233,0.6611576472201804,0.6164991560729745,0.46543682104352363,0.2706364393234253
DoS Hulk,Random Forest,0.964345760115288,0.9535249612561018,0.9627860881861977,0.9579711504424573,1.605107808113098
DoS Hulk,ID3,0.968570389940863,0.9537802236615113,0.9752126103880048,0.9634611958428521,0.5717344284057617
DoS Hulk,AdaBoost,0.9737810696596536,0.9679801348071176,0.969693086313038,0.9688307648333335,8.000432300567628
DoS Hulk,MLP,0.9460022460385981,0.9470676796011741,0.9290203159984397,0.9317875581418751,75.07628633975983
DoS Hulk,Nearest Neighbors,0.9977215041967167,0.9967124576932884,0.9978714789233486,0.9972895072058764,10.795230388641357
DoS GoldenEye,Naive Bayes,0.8839988341591372,0.874767284207367,0.8484615330414942,0.8597763363877726,0.017654561996459962
DoS GoldenEye,QDA,0.7730982220926844,0.7887954422137821,0.8355165856750475,0.7676899321353917,0.013335204124450684
DoS GoldenEye,Random Forest,0.9949868842902945,0.9944247972871214,0.9938592517265569,0.9941403712961427,0.0609548807144165
DoS GoldenEye,ID3,0.9941707956863887,0.9917190718093064,0.9947406638993854,0.9932110900830567,0.030292868614196777
DoS GoldenEye,AdaBoost,0.9903818128825416,0.9909369957439097,0.9865671379619052,0.9887138157894737,0.3689356803894043
DoS GoldenEye,MLP,0.8103614106674438,0.7725630269863217,0.8059734838000718,0.7652323678413284,3.0108938932418825
DoS GoldenEye,Nearest Neighbors,0.9788691343631596,0.9710923438152003,0.9804180634317852,0.9755599282844944,0.12170581817626953
DDoS,Naive Bayes,0.7949085693797059,0.7724510259156802,0.7096618062646032,0.7276738838853831,0.040029597282409665
DDoS,QDA,0.42721405521692357,0.6715290091875448,0.5905972214255396,0.4095117996710068,0.03572709560394287
DDoS,Random Forest,0.9653818572965219,0.9502737323473045,0.9713706624448853,0.9597867215783976,0.2404707670211792
DDoS,ID3,0.9648978128361418,0.9486973488238247,0.972735599481455,0.9593678957451447,0.08406200408935546
DDoS,AdaBoost,0.959053424166368,0.9456372349629353,0.9592554368816945,0.9520297077424404,0.9900176763534546
DDoS,MLP,0.7573252061670849,0.7605359359191874,0.7101889629485165,0.6875776165207215,5.2398518323898315
DDoS,Nearest Neighbors,0.9313373969164577,0.9146209688059711,0.9243867212744885,0.9192698844552675,1.0469073057174683
